title,body,pub_time,image,link
"AS Resmi Terapkan Tarif 50% ke India, Tensi Politik Meningkat",detikNews,4 jam yang lalu,https://akcdn.detik.net.id/visual/2025/08/27/as-resmi-terapkan-tarif-50-ke-india-tensi-politik-meningkat-1756285905567_43.jpeg?w=250&q=90,https://news.detik.com/dw/d-8082067/as-resmi-terapkan-tarif-50-ke-india-tensi-politik-meningkat
Alasan Hakim Tak Cabut Hak Politik Mbak Ita: Usia Lansia,detikJateng,4 jam yang lalu,https://akcdn.detik.net.id/visual/2025/08/15/mbak-ita-di-pn-semarang-1755239155368_43.jpeg?w=250&q=90,https://www.detik.com/jateng/hukum-dan-kriminal/d-8082047/alasan-hakim-tak-cabut-hak-politik-mbak-ita-usia-lansia
Hasrat Politik Dwi Hartono Dalang Penculikan Kacab Bank,detikJabar,6 jam yang lalu,https://akcdn.detik.net.id/visual/2025/08/26/dwi-hartono-aktor-penculikan-dan-pembunuhan-kacab-bank-di-jakarta-1756197271326_43.jpeg?w=250&q=90,https://www.detik.com/jabar/hukum-dan-kriminal/d-8081348/hasrat-politik-dwi-hartono-dalang-penculikan-kacab-bank
"Video Gibran Bertemu Try Sutrisno, Golkar: Hilangkan Kecurigaan Politik",20Detik,"Kamis, 14 Agu 2025 02:07 WIB",https://cdnv.detik.com/videoservice/AdminTV/2025/08/14/978b826881c148289583a697dfa6c913-20250814013620-0s.jpg?w=900,https://20.detik.com/detikupdate/20250814-250814003/video-gibran-bertemu-try-sutrisno-golkar-hilangkan-kecurigaan-politik
"Divonis 5 Tahun Bui, Hak Politik Eks Walkot Semarang Mbak Ita Tak Dicabut",detikNews,6 jam yang lalu,https://akcdn.detik.net.id/visual/2025/08/27/eks-wali-kota-semarang-hevearita-gunaryanti-rahayu-ita-dan-suaminya-alwin-basri-di-sidang-vonis-pengadilan-tindak-pidana-korup-1756274505092_43.jpeg?w=250&q=90,https://news.detik.com/berita/d-8081770/divonis-5-tahun-bui-hak-politik-eks-walkot-semarang-mbak-ita-tak-dicabut
Agenda Kunker Komisi 3 DPRD Medan Ditelusuri Jaksa yang Usut Kasus Pemerasan,detikSumut,12 jam yang lalu,https://akcdn.detik.net.id/visual/2025/08/26/ketua-komisi-3-dprd-medan-berinisial-sp-usai-diperiksa-tim-penyelidik-kejati-sumut-soal-dugaan-pemerasan-nizar-aldidetiksumut-1756225503210_43.jpeg?w=250&q=90,https://www.detik.com/sumut/hukum-dan-kriminal/d-8080949/agenda-kunker-komisi-3-dprd-medan-ditelusuri-jaksa-yang-usut-kasus-pemerasan
Lingkaran Setan Biaya Politik,detikNews,"Jumat, 22 Agu 2025 13:12 WIB",https://akcdn.detik.net.id/visual/2024/11/29/ilustrasi-tps-pilkada-jateng-2024_43.jpeg?w=250&q=90,https://news.detik.com/kolom/d-8072427/lingkaran-setan-biaya-politik
"Sosok Immanuel Ebenezer, Jadi Pendukung Jokowi-Tertangkap Kasus OTT KPK",Foto Bisnis,"Kamis, 21 Agu 2025 15:13 WIB",https://akcdn.detik.net.id/community/media/visual/2025/02/12/wakil-menteri-ketenagakerjaan-immanuel-ebenezer-gerungan_169.jpeg?w=200&q=,https://finance.detik.com/foto-bisnis/d-8072307/sosok-immanuel-ebenezer-jadi-pendukung-jokowi-tertangkap-kasus-ott-kpk
Jaksa Cecar Belasan Pertanyaan ke Ketua Komisi 3 DPRD Medan di Kasus Pemerasan,detikSumut,"Selasa, 26 Agu 2025 19:30 WIB",https://akcdn.detik.net.id/visual/2023/10/17/kantor-kejati-sumut-istimewa_43.jpeg?w=250&q=90,https://www.detik.com/sumut/hukum-dan-kriminal/d-8080699/jaksa-cecar-belasan-pertanyaan-ke-ketua-komisi-3-dprd-medan-di-kasus-pemerasan
Tren 'Politik Kakak-Adik' Antarpartai,detikNews,"Kamis, 24 Jul 2025 14:46 WIB",https://akcdn.detik.net.id/visual/2025/07/24/detik-sore-24-jul-2025-1753343164432_43.jpeg?w=250&q=90,https://news.detik.com/berita/d-8027100/tren-politik-kakak-adik-antarpartai
Membuka Ruang Partai Politik Baru,detikNews,"Senin, 18 Agu 2025 09:28 WIB",https://akcdn.detik.net.id/visual/2024/01/03/atribut-partai-2_43.jpeg?w=250&q=90,https://news.detik.com/kolom/d-8065941/membuka-ruang-partai-politik-baru
Perpajakan dari Perspektif Ekonomi Politik,detikFinance,"Minggu, 17 Agu 2025 00:34 WIB",https://akcdn.detik.net.id/visual/2025/03/17/pekerja-manfaatkan-pojok-pajak-untuk-lapor-spt-tahunan-1742195395202_43.jpeg?w=250&q=90,https://finance.detik.com/berita-ekonomi-bisnis/d-8064906/perpajakan-dari-perspektif-ekonomi-politik
"Profil Ridwan Kamil: Perjalanan Hidup, Karier Politik, dan Kontroversinya",detikJabar,"Rabu, 20 Agu 2025 14:30 WIB",https://akcdn.detik.net.id/visual/2025/08/07/ridwan-kamil-usai-tes-dna-anak-lisa-mariana-ondangdetikcom-1754551340770_43.jpeg?w=250&q=90,https://www.detik.com/jabar/berita/d-8070316/profil-ridwan-kamil-perjalanan-hidup-karier-politik-dan-kontroversinya
Direktur PPI: Pidato Politik Jokowi Tanda Sudah Resmi Log In PSI,detikNews,"Minggu, 20 Jul 2025 08:32 WIB",https://akcdn.detik.net.id/visual/2025/07/19/joko-widodo-hadiri-kongres-psi-1752942851148_43.jpeg?w=250&q=90,https://news.detik.com/berita/d-8019820/direktur-ppi-pidato-politik-jokowi-tanda-sudah-resmi-log-in-psi
Kesejahteraan dan Integrasi Politik,detikNews,"Senin, 17 Feb 2025 17:05 WIB",https://akcdn.detik.net.id/visual/2017/11/15/e3ac6b06-bc26-461e-bacb-ecc2390d14ff_43.jpg?w=250&q=90,https://news.detik.com/kolom/d-7782619/kesejahteraan-dan-integrasi-politik
"Video: Projo Merapat ke Prabowo, Siapa Terancam?",20Detik,"Kamis, 07 Agu 2025 18:25 WIB",https://akcdn.detik.net.id/community/media/visual/2025/08/07/detik-sore-7-agustus-2025-1754568537797_169.jpeg?w=900&q=,https://20.detik.com/detik-sore/20250807-250807128/video-projo-merapat-ke-prabowo-siapa-terancam
Penjelasan Teuku Rassya Makin Aktif Bisnis dan Belajar Politik,detikHot,"Minggu, 22 Jun 2025 14:07 WIB",https://akcdn.detik.net.id/visual/2025/02/05/tamara-bleszynski-dan-teuku-rassya-5_43.jpeg?w=250&q=90,https://hot.detik.com/celeb/d-7976611/penjelasan-teuku-rassya-makin-aktif-bisnis-dan-belajar-politik
Menjaga Demokrasi Tetap Tangguh,detikNews,2 jam yang lalu,https://akcdn.detik.net.id/visual/2024/10/10/demokrasi_43.jpeg?w=250&q=90,https://news.detik.com/kolom/d-8080189/menjaga-demokrasi-tetap-tangguh
Bamsoet Dukung Pembenahan Partai Politik dan Sistem Demokrasi,detikNews,"Jumat, 15 Agu 2025 20:52 WIB",https://akcdn.detik.net.id/visual/2025/08/15/anggota-dpr-ri-sekaligus-wakil-ketua-umum-partai-golkar-bambang-soesatyo-bamsoet-1755265883902_43.jpeg?w=250&q=90,https://news.detik.com/berita/d-8063585/bamsoet-dukung-pembenahan-partai-politik-dan-sistem-demokrasi
Mengenang Suryadharma Ali dalam Bingkai Foto,Foto News,"Kamis, 31 Jul 2025 12:00 WIB",https://akcdn.detik.net.id/community/media/visual/2015/02/23/28bbb7e3-3fa6-4068-9c19-f6972ff5ae1a_169.jpg?w=200&q=,https://news.detik.com/foto-news/d-8038082/mengenang-suryadharma-ali-dalam-bingkai-foto
Menjaga Asa Survivalitas Politik PKB,detikNews,"Senin, 28 Jul 2025 18:36 WIB",https://akcdn.detik.net.id/visual/2025/07/24/presiden-prabowo-menghadiri-harlah-ke-27-pkb-di-jcc-1753318129177_43.jpeg?w=250&q=90,https://news.detik.com/kolom/d-8032612/menjaga-asa-survivalitas-politik-pkb
AHY: Pak SBY Pilih Jalan Seni karena Politik Kadang Gagal Menjangkau,detikNews,"Selasa, 01 Jul 2025 22:14 WIB",https://akcdn.detik.net.id/visual/2024/02/07/giliran-sby-sampaikan-pidato-politik-jelang-pemilu-2024-3_43.jpeg?w=250&q=90,https://news.detik.com/berita/d-7991426/ahy-pak-sby-pilih-jalan-seni-karena-politik-kadang-gagal-menjangkau
"Anies Minta Anak Muda Tak Jauhi Politik, Singgung Polemik Tambang di Raja Ampat",detikNews,"Minggu, 15 Jun 2025 23:41 WIB",https://akcdn.detik.net.id/visual/2025/06/15/anies-baswedan-1750000145484_43.jpeg?w=250&q=90,https://news.detik.com/berita/d-7965875/anies-minta-anak-muda-tak-jauhi-politik-singgung-polemik-tambang-di-raja-ampat
Ketua DPD: HUT ke-80 RI Simpan Semangat Politik Kebangsaan Luhur,detikNews,"Senin, 18 Agu 2025 00:06 WIB",https://akcdn.detik.net.id/visual/2025/08/18/ketua-dpd-ri-sultan-b-najamudin-di-istana-merdeka-bersama-ketua-mpr-ahmad-muzani-dan-ketua-dpr-puan-maharani-dok-dpd-ri-1755450342899_43.jpeg?w=250&q=90,https://news.detik.com/berita/d-8066420/ketua-dpd-hut-ke-80-ri-simpan-semangat-politik-kebangsaan-luhur
"NasDem Luncurkan Program Remaja Bernegara, Harap Anak Muda Melek Politik",detikNews,"Sabtu, 15 Feb 2025 13:15 WIB",https://akcdn.detik.net.id/visual/2025/02/15/partai-nasdem-meluncurkan-program-remaja-bernegara-brigitta-beliadetikcom_43.jpeg?w=250&q=90,https://news.detik.com/berita/d-7779728/nasdem-luncurkan-program-remaja-bernegara-harap-anak-muda-melek-politik
"Gal Gadot Ungkap Penyebab 'Snow White' Gagal di Box Office, Ada Tekanan Politik",Wolipop,"Minggu, 17 Agu 2025 18:30 WIB",https://akcdn.detik.net.id/visual/2025/03/20/snow-white-2025-instagramcomdisney-1742455896995_43.jpeg?w=250&q=90,https://wolipop.detik.com/entertainment-news/d-8065992/gal-gadot-ungkap-penyebab-snow-white-gagal-di-box-office-ada-tekanan-politik
"Video Gibran Bertemu Try Sutrisno, Golkar: Hilangkan Kecurigaan Politik",detikNews,"Kamis, 14 Agu 2025 02:07 WIB",https://akcdn.detik.net.id/visual/2025/08/13/gibran-sambangi-kediaman-try-sutrisno-dok-setwapres-ri-1755070484682_43.jpeg?w=250&q=90,https://20.detik.com/detikupdate/20250814-250814003/video-gibran-bertemu-try-sutrisno-golkar-hilangkan-kecurigaan-politik
Video: 4 Sosok Besar yang Terdampak Sikap Politik PDIP,20Detik,"Senin, 04 Agu 2025 19:15 WIB",https://akcdn.detik.net.id/community/media/visual/2025/08/04/detik-sore-4-agustus-2025-1754311651277_169.jpeg?w=900&q=,https://20.detik.com/detik-sore/20250804-250804077/video-4-sosok-besar-yang-terdampak-sikap-politik-pdip
Rencana Besar IKN Jadi Ibu Kota Politik,detikFinance,"Sabtu, 19 Jul 2025 07:27 WIB",https://akcdn.detik.net.id/visual/2025/07/06/pembangunan-tahap-dua-ikn-dikebut-kawasan-inti-ramai-pengunjung-1751760579527_43.jpeg?w=250&q=90,https://finance.detik.com/infrastruktur/d-8018509/rencana-besar-ikn-jadi-ibu-kota-politik
IKN Jadi Ibu Kota Politik 2028,detikSumut,"Sabtu, 19 Jul 2025 06:01 WIB",https://akcdn.detik.net.id/visual/2025/02/14/penampakan-terkini-ibu-kota-nusantara-1_43.jpeg?w=250&q=90,https://www.detik.com/sumut/berita/d-8017605/ikn-jadi-ibu-kota-politik-2028
Rahayu Gerindra Ajak Ketua RT Gen Z ke DPR: Lihat Wakil Rakyat Bekerja,detikNews,5 jam yang lalu,https://akcdn.detik.net.id/visual/2025/08/27/wakil-ketua-komisi-vii-dpr-ri-rahayu-saraswati-mengajak-ketua-rt-gen-z-di-jakut-berkeliling-gedung-dpr-ri-1756282003358_43.jpeg?w=250&q=90,https://news.detik.com/berita/d-8081899/rahayu-gerindra-ajak-ketua-rt-gen-z-ke-dpr-lihat-wakil-rakyat-bekerja
Potret Keren Teuku Rassya Jajan di Jepang hingga Nongkrong di Kafe,Galeri Foto,"Minggu, 22 Jun 2025 21:00 WIB",https://akcdn.detik.net.id/community/media/visual/2025/06/22/teuku-rassya-1750596236890_169.jpeg?w=200&q=,https://food.detik.com/foto-kuliner/d-7977085/potret-keren-teuku-rassya-jajan-di-jepang-hingga-nongkrong-di-kafe
Arah Masa Depan Politik Kita,detikNews,"Selasa, 24 Des 2024 11:16 WIB",https://akcdn.detik.net.id/visual/2024/12/23/jan-mealino_43.jpeg?w=250&q=90,https://news.detik.com/kolom/d-7700100/arah-masa-depan-politik-kita
"Video Prabowo: Siapapun yang Ingin Perbaiki Bangsa, Siap Terjun ke Politik",detikNews,"Minggu, 18 Mei  2025 10:35 WIB",https://akcdn.detik.net.id/visual/2025/05/17/presiden-prabowo-subianto-1747480722943_43.png?w=250&q=90,https://20.detik.com/detikupdate/20250518-250518055/video-prabowo-siapapun-yang-ingin-perbaiki-bangsa-siap-terjun-ke-politik
Positioning Politik Prabowo,detikNews,"Rabu, 09 Jul 2025 17:45 WIB",https://akcdn.detik.net.id/visual/2025/06/12/presiden-prabowo-subianto-1749712940632_43.jpeg?w=250&q=90,https://news.detik.com/kolom/d-8003316/positioning-politik-prabowo
Rencana Athalla Naufal Terjun ke Politik Nggak Mau Setengah-setengah,detikHot,"Senin, 03 Mar 2025 08:08 WIB",https://akcdn.detik.net.id/visual/2025/03/03/athalla-naufal-1740951196280_43.jpeg?w=250&q=90,https://hot.detik.com/celeb/d-7803525/rencana-athalla-naufal-terjun-ke-politik-nggak-mau-setengah-setengah
